ID,Item title,Final URL,Image URL,Price,Description,Item subtitle,Sale price
shopify_ZZ_15297877541250_56491916460418,Arches Builder Set,https://babynatur.hr/products/arches-builder-set?variant=56491916460418,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/Arches_54_-listing_1_white_background.png?v=1773957457,80.10 EUR,"Waytoplay Arches Builder Set je najveći Arches set koji djeci daje potpunu slobodu gradnje i omogućuje stvaranje velikih, kompleksnih konstrukcija poput mostova, tunela, rampi, tornjeva i cijelih svjetova igre. S čak 54 elementa , ovaj set je idealan za djecu koja vole graditi, istraživati i stvarati vlastite ideje bez ograničenja. Zahvaljujući inovativnom click-connect sustavu , elementi se mogu povezivati na više načina i ostaju stabilni tijekom igre, što djeci omogućuje eksperimentiranje i razvoj samostalnosti kroz igru. Ovaj set posebno je zanimljiv jer omogućuje gradnju u visinu i dodaje potpuno novu dimenziju Waytoplay cestama – dijete može stvarati nadvožnjake, skakaonice i prepreke koje čine igru realističnijom i zanimljivijom. Izrađen od 100% reciklirane plastike u Europi , Builder set je sigurna, održiva i izuzetno izdržljiva igračka koja može trajati godinama i rasti zajedno s djetetom.",,89.00 EUR
shopify_ZZ_15297877508482_56491916394882,Arches Creator Set,https://babynatur.hr/products/arches-creator-set?variant=56491916394882,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/Arches_36_-listing_1_white_background.png?v=1773957444,62.10 EUR,"*]:pointer-events-auto scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" data-turn-id=""request-WEB:38fab5b1-41a9-4835-a778-103d50fd6d39-18"" data-testid=""conversation-turn-38"" data-scroll-anchor=""true"" data-turn=""assistant""> Waytoplay Arches Creator Set donosi još više elemenata za djecu koja žele graditi veće, kompleksnije i kreativnije konstrukcije. S većim brojem dijelova djeca mogu stvarati mostove, tunele, rampe, tornjeve i cijele svjetove igre koji svaki put izgledaju drugačije. Zahvaljujući pametnom click-connect sustavu , elementi se jednostavno spajaju i ostaju stabilni tijekom igre, što djeci omogućuje samostalno istraživanje i eksperimentiranje bez frustracije zbog nestabilnih konstrukcija. Ovaj set posebno je zanimljiv djeci koja vole graditi i kombinirati, jer omogućuje izradu većih projekata i dodatno razvija kreativnost, logičko razmišljanje i prostornu percepciju kroz igru. Kao i svi Waytoplay proizvodi, Arches Creator Set izrađen je od izdržljive reciklirane plastike u Europi te je dizajniran za dugotrajno korištenje, što ga čini kvalitetnom igračkom koja može trajati godinama.",,69.00 EUR
shopify_ZZ_15297876918658_56491914690946,Arches Starter set,https://babynatur.hr/products/arches-starter-set?variant=56491914690946,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/Arches_18-listing_1_white_background.png?v=1773956266,35.10 EUR,"Waytoplay Arches Starter Set je inovativna kreativna igračka koja djeci omogućuje gradnju tunela, mostova, rampi, tornjeva i raznih konstrukcija koristeći jednostavne, ali pametno dizajnirane elemente. Zahvaljujući otvorenom konceptu igre, dijete svaki put može stvoriti nešto potpuno novo, što ovu igračku čini dugoročno zanimljivom i korisnom za razvoj kreativnosti. Elementi se jednostavno povezuju pomoću posebnog click-connect sustava , koji osigurava stabilnost konstrukcija i omogućuje djeci da samostalno istražuju, grade i eksperimentiraju. Upravo takva igra razvija logičko razmišljanje, prostornu percepciju i finu motoriku kroz zabavu. Arches set može se koristiti samostalno ili u kombinaciji s Waytoplay cestama i drugim igračkama, čime postaje temelj kreativne igre i omogućuje djeci stvaranje vlastitih svjetova igre. Izrađen od reciklirane plastike u Europi, proizvod je siguran, izdržljiv i dizajniran za dugotrajno korištenje, što ga čini odličnim izborom za roditelje koji traže kvalitetne i održive igračke.",,39.00 EUR
shopify_ZZ_15297873019266_56491892769154,King of the Road,https://babynatur.hr/products/king-of-the-road?variant=56491892769154,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/WaytoplayListing_KOR_01.jpg?v=1773955009,108.00 EUR,"*]:pointer-events-auto scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]""> Waytoplay King of the Road set s 40 dijelova potiče kreativnost! Originalna fleksibilna cesta za igru sastoji se od ravnih dijelova, zavoja i raskrižja. Izdržljiva i vodootporna za igru u zatvorenom i na otvorenom. Za avanturu koju će djeca dugo pamtiti. Zamislite, stvarajte i igrajte se!",,120.00 EUR
shopify_ZZ_15297872986498_56491892736386,Highway,https://babynatur.hr/products/highway?variant=56491892736386,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/WaytoplayListing_HIGH_01.jpg?v=1773955006,67.50 EUR,"*]:pointer-events-auto scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" data-turn-id=""request-WEB:38fab5b1-41a9-4835-a778-103d50fd6d39-14"" data-testid=""conversation-turn-30"" data-scroll-anchor=""true"" data-turn=""assistant""> Waytoplay Highway set s 24 dijela potiče kreativnost! Originalna fleksibilna cesta za igru sastoji se od ravnih dijelova, zavoja i raskrižja. Izdržljiva i vodootporna za igru u zatvorenom i na otvorenom. Za avanturu koju će djeca dugo pamtiti. Zamislite, stvarajte i igrajte se!",,75.00 EUR
shopify_ZZ_15297872953730_56491892703618,Expressway,https://babynatur.hr/products/expressway?variant=56491892703618,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/WaytoplayListing_EX_01.jpg?v=1773955004,49.50 EUR,"*]:pointer-events-auto scroll-mt-[calc(var(--header-height)+min(200px,max(70px,20svh)))]"" dir=""auto"" data-turn-id=""request-WEB:38fab5b1-41a9-4835-a778-103d50fd6d39-15"" data-testid=""conversation-turn-32"" data-scroll-anchor=""true"" data-turn=""assistant""> Waytoplay Expressway set sa 16 dijelova potiče kreativnost! Originalna fleksibilna cesta za igru sastoji se od ravnih dijelova, zavoja i raskrižja. Izdržljiva i vodootporna za igru u zatvorenom i na otvorenom. Za avanturu koju će djeca dugo pamtiti. Zamislite, stvarajte i igrajte se!",,55.00 EUR
shopify_ZZ_15297872920962_56491892670850,Ringroad,https://babynatur.hr/products/ringroad?variant=56491892670850,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/WaytoplayListing_RR_01.jpg?v=1773955001,36.00 EUR,"Waytoplay Ringroad set s 12 dijelova potiče kreativnost! Originalna fleksibilna cesta za igru sastoji se od ravnih dijelova, zavoja i raskrižja. Izdržljiva i vodootporna za igru u zatvorenom i na otvorenom. Za avanturu koju će djeca dugo pamtiti. Zamislite, stvarajte i igrajte se!",,40.00 EUR
shopify_ZZ_15292057289090_56458299670914,Zaštitna ogradica pletenica za kinderbet Premium BUKLE - 140cm / Roza,https://babynatur.hr/products/zastitna-ogradica-pletenica-za-kinderbet-premium-bukle?variant=56458299670914,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/Roza_bukle_pletenica.png?v=1768341427,55.00 EUR,"Pletenica za kinderbet Premium BUKLE - ogradica za kinderbet izrađena od premium bukle, s antibakterijskom i antialergijskom ispunom - stvara nježni zagrljaj sigurnosti oko vaše bebe, štiteći je od udaraca tijekom sna. Uronite u mekoću i sigurnost - naša pletenica-ogradica za kinderbet spoj je nježnosti ručne izrade, najveće kvalitete i zaštite koju vaša beba zaslužuje. Specifikacija proizvoda Sastav: 100% premium bukle (Poliester) Visina: cca. 20 cm Debljina: cca. 8 cm",140cm / Roza,55.00 EUR
shopify_ZZ_15292057289090_56458299703682,Zaštitna ogradica pletenica za kinderbet Premium BUKLE - 140cm / Krem,https://babynatur.hr/products/zastitna-ogradica-pletenica-za-kinderbet-premium-bukle?variant=56458299703682,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/Ecru_bukle_pletenica.png?v=1768341427,55.00 EUR,"Pletenica za kinderbet Premium BUKLE - ogradica za kinderbet izrađena od premium bukle, s antibakterijskom i antialergijskom ispunom - stvara nježni zagrljaj sigurnosti oko vaše bebe, štiteći je od udaraca tijekom sna. Uronite u mekoću i sigurnost - naša pletenica-ogradica za kinderbet spoj je nježnosti ručne izrade, najveće kvalitete i zaštite koju vaša beba zaslužuje. Specifikacija proizvoda Sastav: 100% premium bukle (Poliester) Visina: cca. 20 cm Debljina: cca. 8 cm",140cm / Krem,55.00 EUR
shopify_ZZ_15292057289090_56458299736450,Zaštitna ogradica pletenica za kinderbet Premium BUKLE - 140cm / Bijela,https://babynatur.hr/products/zastitna-ogradica-pletenica-za-kinderbet-premium-bukle?variant=56458299736450,https://cdn.shopify.com/s/files/1/0943/0738/5730/files/bijela_bukle_pletenica.png?v=1768341427,55.00 EUR,"Pletenica za kinderbet Premium BUKLE - ogradica za kinderbet izrađena od premium bukle, s antibakterijskom i antialergijskom ispunom - stvara nježni zagrljaj sigurnosti oko vaše bebe, štiteći je od udaraca tijekom sna. Uronite u mekoću i sigurnost - naša pletenica-ogradica za kinderbet spoj je nježnosti ručne izrade, najveće kvalitete i zaštite koju vaša beba zaslužuje. Specifikacija proizvoda Sastav: 100% premium bukle (Poliester) Visina: cca. 20 cm Debljina: cca. 8 cm",140cm / Bijela,55.00 EUR
